url,price,title
https://www.olx.in/item/its-a-new-vital-king-mens-wallet-well-ID1g2wIz.html,250,"Its a new vital king mens wallet,well"
https://www.olx.in/item/black-peak-lapel-suit-jacket-ID1g2wzn.html,3000,Black Peak Lapel Suit Jacket
https://www.olx.in/item/one-time-use-branded-shervani-8-month-old-fully-ID1fL0nt.html,10000,"One time use branded shervani 8 month old , fully"
https://www.olx.in/item/blue-and-black-dress-shirt-and-gray-vest-ID1g2wCW.html,3500,"Blue And Black Dress Shirt, And Gray Vest"
https://www.olx.in/item/black-leather-shoe-ID1fHsTw.html,800,Black Leather Shoe
https://www.olx.in/item/brand-new-nike-court-borough-shoe-worth-rupees-ID1g2wAN.html,2800,Brand new Nike court borough shoe worth rupees
https://www.olx.in/item/timex-watch-for-men-ID1g2wN1.html,900,Timex watch for men
https://www.olx.in/item/unused-pink-color-wedges-size-4-ID1g2we7.html,900,"Unused pink color wedges, size 4"
https://www.olx.in/item/brown-and-black-backpack-ID1g2job.html,350,Brown And Black Backpack
https://www.olx.in/item/winter-collection-sizes-0-3-years-price-799-ship-ID1g2l2H.html,799,Winter collection Sizes 0-3 years Price 799+ship
https://www.olx.in/item/huggies-new-dry-m60-pieces-ID1g2l0Z.html,449,Huggies new dry-M(60 pieces)
https://www.olx.in/item/pink-and-yellow-minnie-mouse-backpack-trolley-ID1g2lKJ.html,1400,Pink And Yellow Minnie Mouse Backpack Trolley
https://www.olx.in/item/black-and-purple-hp-backpack-ID1g2mBn.html,400,Black And Purple HP Backpack
https://www.olx.in/item/girls-pink-floral-sleeveless-dress-ID1g2mM9.html,699,Girl's Pink Floral Sleeveless Dress
https://www.olx.in/item/beautiful-kids-formal-dresses-in-plum-color-at-faye-ID1g2mWL.html,1899,Beautiful Kids Formal Dresses in Plum Color at Faye
https://www.olx.in/item/complete-set-minimum-3-quantity-required-for-buy-ID1g2n4H.html,260,Complete set minimum 3 quantity required for buy
https://www.olx.in/item/cotton-capri-ID1g2nfL.html,180,Cotton capri
https://www.olx.in/item/good-condition-this-urgent-sell-6-7-year-ke-liye-ID1fCuqb.html,400,Good condition this urgent sell 6-7 year ke liye
https://www.olx.in/item/from-levis-completely-new-ID1g2npf.html,2999,"From levis, completely new."
https://www.olx.in/item/all-diapers-available-at-whole-sale-teddy-super-ID1g2nD7.html,450,All diapers available at whole sale TEDDY SUPER
https://www.olx.in/item/partywear-frock-for-2-3-yrs-girl-ID1g2nOT.html,500,Partywear frock for 2 -3 yrs girl
https://www.olx.in/item/yellow-and-black-nike-cleats-ID1g2o5W.html,1500,Yellow-and-black Nike Cleats
https://www.olx.in/item/black-backpack-ID1g2ogZ.html,1000,Black Backpack
https://www.olx.in/item/orange-and-white-skaybag-backpack-ID1g2nLb.html,350,Orange And White Skaybag Backpack
https://www.olx.in/item/baby-girl-dress-for-1-year-old-ID1fIOdT.html,100,Baby girl dress for 1 year old
https://www.olx.in/item/croma-backpack-laptop-bag-unused-mint-condition-ID1g2oX5.html,600,"Croma backpack laptop bag, unused, mint condition"
https://www.olx.in/item/childrens-pink-and-white-bicycle-ID1g2q0n.html,700,Children's Pink And White Bicycle
https://www.olx.in/item/green-and-orange-sleeveless-dresses-ID1g2qiP.html,300,Green And Orange Sleeveless Dresses
https://www.olx.in/item/new-brand-australian-pure-baby-age-from-3-to-7-ID1g2r6r.html,125,NEW BRAND AUSTRALIAN PURE BABY age from 3 to 7
https://www.olx.in/item/lowerpro-tahoe-bp-150-galaxy-blue-camera-bag-ID1g2rt7.html,2100,Lowerpro Tahoe BP 150 Galaxy Blue Camera Bag
https://www.olx.in/item/foldable-baby-kids-walker-with-height-adjuster-used-ID1g2skR.html,1450,Foldable Baby (kids) Walker with height adjuster (USED)
https://www.olx.in/item/complete-suit-for-2-yr-baby-ID1fdqZW.html,550,Complete suit for 2 yr baby
https://www.olx.in/item/kids-pajamas-and-jeans-for-6-to-8-years-old-in-ID1g2sBp.html,50,Kids pajamas and jeans for 6 to 8 years old in
https://www.olx.in/item/green-and-pink-barbie-printed-backpack-ID1g2soL.html,150,Green And Pink Barbie-printed Backpack
https://www.olx.in/item/baby-slipper-ID1g2sWL.html,200,Baby slipper
https://www.olx.in/item/hp-bag-brand-new-ID1g2sZZ.html,550,HP bag brand new
https://www.olx.in/item/white-knitted-clothe-ID1g2tjd.html,250,White Knitted Clothe
https://www.olx.in/item/purple-and-multicolored-knit-shirt-with-box-ID1g2tz3.html,250,Purple And Multicolored Knit Shirt With Box
https://www.olx.in/item/blue-and-white-floral-cap-sleeve-traditional-dress-ID1g2udP.html,990,Blue And White Floral Cap-sleeve Traditional Dress
https://www.olx.in/item/aristocrat-backpack-39l-only-2-times-used-only-1-ID1g2w2P.html,1100,Aristocrat backpack 39L only 2 times used only 1
https://www.olx.in/item/top-for-sale-ID1g2w93.html,150,Top for sale
https://www.olx.in/item/black-sweat-pants-ID1g2wcT.html,600,Black Sweat Pants
https://www.olx.in/item/i-sell-my-bag-its-very-good-ID1g2wb7.html,500,I sell my bag it's very good
https://www.olx.in/item/ice-tree-brand-elegant-frock-for-3-4yrs-kids-ID1g2wo5.html,800,ICE TREE Brand elegant frock...for 3-4yrs kids
https://www.olx.in/item/kids-watch-musical-disco-light-projector-ID1g2wiJ.html,270,Kids Watch Musical + DISCO light + PROJECTOR +
https://www.olx.in/item/lehnga-choli-for-your-3-4year-kid-ID1g2wIZ.html,600,Lehnga choli for your 3-4year kid
https://www.olx.in/item/15-inch-trolley-for-girls-ID1eARgl.html,999,15 Inch Trolley For Girls
https://www.olx.in/item/hanging-baby-wardrobe-ID1g2whJ.html,350,Hanging baby wardrobe
https://www.olx.in/item/white-and-beige-floral-traditional-chaniya-choli-ID1g2wjz.html,5000,White And Beige Floral Traditional chaniya choli
https://www.olx.in/item/milk-honey-container-ID1g2uSp.html,650,Milk Honey Container
https://www.olx.in/item/mangal-sutra-for-sale-ID1g2wdW.html,120,Mangal sutra for sale
https://www.olx.in/item/ladies-one-piece-gown-net-and-jorjad-ID1g2w5j.html,1250,Ladies One Piece Gown Net And Jorjad
https://www.olx.in/item/cotton-kurtis-xl-size-ID1g2wy7.html,200,Cotton kurtis xl size
https://www.olx.in/item/womens-pair-of-black-peep-toe-platform-stiletto-heels-ID1g2wvw.html,2000,Women's Pair Of Black Peep-toe Platform Stiletto Heels
https://www.olx.in/item/brown-and-teal-silk-thread-bangles-ID1g2w8L.html,100,Brown And Teal Silk Thread Bangles
https://www.olx.in/item/gray-and-pink-floral-maxi-skirt-ID1g2wtP.html,70,Gray And Pink Floral Maxi Skirt
https://www.olx.in/item/top-fancy-in-english-color-ID1fK9wt.html,260,Top fancy in English color
https://www.olx.in/item/pair-of-white-pink-and-gold-beaded-silk-thread-jhumkas-earrings-ID1g2wB3.html,200,Pair Of White-pink-and-gold Beaded Silk Thread Jhumkas Earrings
https://www.olx.in/item/necklace-with-ear-rings-ID1g2wI7.html,85,Necklace with ear rings
https://www.olx.in/item/girls-pink-and-yellow-spaghetti-strap-dress-ID1g2wPT.html,500,Girl's Pink And Yellow Spaghetti Strap Dress
https://www.olx.in/item/silver-colored-rhinestone-encrusted-bib-necklace-ID1g2wON.html,180,Silver-colored Rhinestone Encrusted Bib Necklace
https://www.olx.in/item/orange-floral-lace-long-sleeve-dress-ID1g2wyW.html,900,Orange Floral Lace Long Sleeve Dress
https://www.olx.in/item/beige-and-black-textile-ID1g2wix.html,1600,Beige And Black Textile
https://www.olx.in/item/xl-size-beautiful-anarkali-dresd-ID1fii9N.html,2000,XL size beautiful Anarkali dresd
https://www.olx.in/item/gold-colored-red-gemstone-beb-necklace-and-earrings-set-ID1g2wKH.html,250,Gold-colored Red Gemstone Beb Necklace And Earrings Set
https://www.olx.in/item/pair-of-yellow-triangle-pendant-hook-earrings-ID1g2wMh.html,100,Pair Of Yellow Triangle Pendant Hook Earrings
https://www.olx.in/item/brand-new-diamond-pendal-for-sale-ID1g2wPH.html,500,Brand new diamond pendal for sale..
https://www.olx.in/item/party-wear-knee-length-dress-ID1g2wPr.html,700,Party wear knee length Dress
https://www.olx.in/item/womens-silver-gold-and-red-necklace-and-earrings-ID1g2wTh.html,2000,"Women's Silver , Gold And Red Necklace And Earrings"
https://www.olx.in/item/vincci-original-leather-handbag-with-minor-wear-ID1e4mRw.html,10000,Vincci original Leather Handbag with minor wear
https://www.olx.in/item/cotton-long-kurtis-ID1g2wod.html,200,Cotton Long kurtis
https://www.olx.in/item/assorted-colored-yarns-ID1g2wIl.html,500,Assorted Colored Yarns
https://www.olx.in/item/green-emerald-gold-colored-chandbali-necklace-with-earrings-ID1g2v6R.html,4500,Green Emerald Gold-colored Chandbali Necklace With Earrings
https://www.olx.in/item/8-high-quality-maniqueens-for-sale-immediately-ID1g2wDZ.html,21000,8 high quality maniqueens for sale immediately -
https://www.olx.in/item/green-noble-dd90-electric-breast-pump-ID1g2v1z.html,6000,Green Noble DD90 Electric Breast Pump
